Sale Date,Seller Name,Product Sold,Units,Money Received
2023-01-11,David Wilson,Highlighter,20,4899.6
2022-09-10,David Wilson,Pen,90,20688.3
2023-05-23,Emily Brown,Notebook,69,15308.34
2023-05-08,John Doe,Highlighter,26,5423.6
2022-09-05,Jerry Fren,Stapler,48,579.36
2023-05-10,Michael Johnson,Notebook,72,15411.6
2023-01-28,Jane Smith,Desk,3,630.84
2023-02-07,David Wilson,Pencil,48,1365.6
2023-04-19,David Wilson,Notebook,32,4018.24
2022-11-08,Baby Lo,Pencil,29,3816.98
2023-01-24,Jerry Fren,Highlighter,35,426.3
2022-12-04,John Doe,Pen,64,747.52
2022-11-08,John Doe,Pencil,94,148920.44
2023-05-04,David Wilson,Highlighter,39,2687.1
2023-04-29,Michael Johnson,Stapler,73,789.13
2022-12-29,Emily Brown,Desk,44,3016.2
2022-11-06,Jane Smith,Stapler,81,5315.22
2023-05-31,Don Finn,Desk,69,4768.59
2023-03-11,Michael Johnson,Notebook,38,73452.1
2023-05-04,Michael Johnson,Desk,40,9017.2
2023-02-11,Jane Smith,Pen,1,129.23
2023-05-15,David Wilson,Notebook,56,3869.04
2023-04-21,Emily Brown,Pen,33,80591.61
2022-10-22,Michael Johnson,Notebook,14,1861.86
2022-07-20,David Wilson,Pencil,24,663.84
2022-10-03,Jerry Fren,Highlighter,88,4868.16
2022-08-21,Michael Johnson,Stapler,95,1032.65
2023-01-25,Jane Smith,Desk,62,95887.34
2022-11-06,Jane Smith,Stapler,24,586.8
2023-02-15,Michael Johnson,Notebook,41,5240.21
2023-04-05,Jerry Fren,Highlighter,71,16900.13
2023-03-10,John Doe,Notebook,13,743.21
2023-05-16,David Wilson,Stapler,90,20367.0
2022-11-19,Michael Johnson,Notebook,28,6789.44
2022-08-21,Jane Smith,Pencil,84,170920.68
2023-04-07,Don Finn,Desk,80,2277.6
2022-09-07,Michael Johnson,Pen,71,1757.25
2023-01-01,Jane Smith,Notebook,2,407.56
2022-07-02,Jane Smith,Stapler,5,7859.05
2022-09-14,Michael Johnson,Desk,51,152438.49
2022-12-31,John Doe,Pen,14,2845.08
2022-08-15,Baby Lo,Stapler,81,2356.29
2023-03-26,Emily Brown,Stapler,100,1056.0
2023-05-25,Don Finn,Desk,70,188446.3
2023-02-05,Baby Lo,Desk,39,445.38
2023-04-02,Jane Smith,Desk,24,3550.56
2022-12-14,David Wilson,Highlighter,47,9922.17
2023-02-24,Don Finn,Highlighter,23,287.04
2022-07-10,John Doe,Pen,23,1515.93
2022-12-30,Baby Lo,Stapler,54,3260.52
2023-04-12,Michael Johnson,Desk,76,10003.12
2022-12-17,Emily Brown,Pen,2,104.48
2023-05-22,Emily Brown,Pen,55,1339.8
2022-11-18,Jerry Fren,Pen,22,3077.8
2023-04-02,Don Finn,Highlighter,90,12168.9
2022-09-03,Jerry Fren,Pen,73,1810.4
2022-10-13,Don Finn,Pencil,76,871.72
2023-01-29,Emily Brown,Desk,48,9976.8
2023-04-09,John Doe,Desk,84,19593.84
2023-05-30,David Wilson,Highlighter,24,1617.84
2023-01-20,Emily Brown,Desk,75,10038.75
2023-04-27,John Doe,Notebook,19,4474.5
2023-06-01,Don Finn,Stapler,4,8435.16
2022-11-29,Baby Lo,Stapler,23,1305.25
2022-09-23,John Doe,Notebook,93,209066.79
2022-12-14,Emily Brown,Desk,71,3703.36
2023-01-02,John Doe,Highlighter,70,1649.9
2023-06-07,Emily Brown,Pencil,20,249.6
2022-11-03,Emily Brown,Pencil,8,87.52
2022-10-18,David Wilson,Highlighter,90,5234.4
2023-01-13,John Doe,Notebook,63,3313.17
2023-01-02,Michael Johnson,Stapler,7,20549.48
2023-01-17,Jerry Fren,Pencil,99,2517.57
2022-08-22,Jane Smith,Stapler,25,3173.75
2023-06-06,John Doe,Highlighter,60,107584.2
2022-10-30,Don Finn,Highlighter,100,287860.0
2023-01-31,Jerry Fren,Highlighter,95,984.2
2023-03-25,John Doe,Notebook,44,9491.68
2022-12-29,Emily Brown,Notebook,22,641.96
2023-02-17,Emily Brown,Notebook,41,10116.34
2022-12-24,Emily Brown,Highlighter,87,11641.47
2023-04-04,Michael Johnson,Pen,9,555.3
2022-12-25,Baby Lo,Pencil,26,723.06
2023-01-21,Don Finn,Notebook,57,7423.11
2022-09-03,Emily Brown,Pencil,52,3203.2
2022-09-12,Jerry Fren,Pen,1,240.17
2023-03-06,Jane Smith,Notebook,98,19824.42
2022-12-06,David Wilson,Desk,62,13516.0
2023-02-16,Baby Lo,Desk,90,222896.7
2023-01-05,Jerry Fren,Desk,69,1952.01
2022-11-07,Jane Smith,Stapler,70,161130.2
2022-08-02,Baby Lo,Pen,53,12358.01
2022-08-26,Michael Johnson,Stapler,95,5673.4
2022-11-03,Baby Lo,Pencil,65,1634.75
2023-02-13,Jerry Fren,Notebook,58,12735.06
2023-01-27,John Doe,Stapler,78,952.38
2022-09-23,Michael Johnson,Pen,86,12578.36
2022-07-14,Michael Johnson,Pen,90,12766.5
2022-08-30,Baby Lo,Stapler,67,8060.77
2023-06-11,Emily Brown,Notebook,29,793.44
2022-08-25,Jerry Fren,Stapler,8,96.88
2023-06-03,John Doe,Highlighter,38,440.42
2022-11-27,Don Finn,Pencil,88,1017.28
2023-06-15,John Doe,Desk,45,1078.65
2022-11-13,Jerry Fren,Pen,45,83343.6
2022-08-07,David Wilson,Desk,45,2341.35
2022-07-25,Michael Johnson,Stapler,72,1936.08
2022-08-22,Jerry Fren,Stapler,88,2457.84
2022-12-05,Michael Johnson,Stapler,49,10982.86
2023-02-05,Jerry Fren,Pencil,85,17249.05
2023-01-30,David Wilson,Highlighter,33,8205.45
2023-06-19,Don Finn,Pencil,90,1836.9
2022-09-11,John Doe,Pen,42,6232.8
2022-09-25,Don Finn,Highlighter,23,5443.18
2023-02-07,David Wilson,Notebook,88,5917.12
2023-05-22,Michael Johnson,Desk,54,6520.5
2022-12-08,Michael Johnson,Notebook,11,27894.13
2023-03-26,David Wilson,Pen,91,12703.6
2022-11-24,John Doe,Pen,24,59446.8
2023-04-15,Baby Lo,Pen,99,5931.09
2022-08-09,Emily Brown,Highlighter,48,504.0
2023-03-04,Jerry Fren,Stapler,54,3633.66
2023-05-25,John Doe,Pencil,44,972.84
2022-12-28,David Wilson,Desk,28,4194.96
2022-10-11,Jerry Fren,Notebook,60,1663.8
2022-08-23,David Wilson,Stapler,6,17324.46
2023-02-20,Don Finn,Pen,7,1029.21
2023-03-18,Don Finn,Desk,27,726.3
2022-10-09,John Doe,Desk,97,5326.27
2023-02-06,Jerry Fren,Highlighter,41,90883.06
2022-07-17,David Wilson,Highlighter,47,5803.56
2023-01-29,Michael Johnson,Pencil,96,19988.16
2022-09-30,Emily Brown,Highlighter,8,236.08
2022-08-30,Baby Lo,Highlighter,13,35164.09
2023-01-10,Emily Brown,Stapler,16,934.56
2022-09-10,David Wilson,Highlighter,61,3627.67
2023-03-01,Jerry Fren,Stapler,96,21421.44
2022-10-20,Emily Brown,Pen,43,5408.54
2023-06-05,Michael Johnson,Pencil,11,315.92
2023-02-09,Jerry Fren,Pencil,54,3451.14
2022-10-31,Don Finn,Pencil,99,2247.3
2023-05-19,Don Finn,Highlighter,17,921.91
2023-04-13,Baby Lo,Stapler,9,95.94
2022-11-20,Jerry Fren,Desk,91,1036.49
2023-01-24,Jane Smith,Desk,46,11143.5
2022-07-05,Baby Lo,Pencil,67,4077.62
2023-04-28,John Doe,Notebook,34,94296.62
2022-07-24,John Doe,Highlighter,26,268.58
2022-10-07,David Wilson,Notebook,31,56515.48
2023-03-27,Baby Lo,Highlighter,28,732.48
2022-08-18,Emily Brown,Pencil,45,954.9
2022-08-21,Jane Smith,Notebook,46,9502.68
2022-10-07,Emily Brown,Desk,2,132.6
2022-11-18,Jerry Fren,Stapler,18,466.02
2022-09-17,Jane Smith,Desk,16,968.16
2023-02-05,Emily Brown,Highlighter,24,666.72
2022-08-02,Don Finn,Pencil,47,1315.06
2022-07-10,John Doe,Stapler,89,5013.37
2023-05-27,John Doe,Stapler,72,925.2
2022-11-08,John Doe,Pencil,34,7634.36
2022-08-20,Don Finn,Desk,74,16872.74
2023-03-10,Baby Lo,Notebook,29,6841.97
2022-08-28,David Wilson,Notebook,83,17079.74
2023-03-31,Emily Brown,Notebook,35,426.3
2022-08-11,Jane Smith,Pencil,23,64483.26
2022-09-20,John Doe,Notebook,25,6032.5
2023-04-21,John Doe,Pen,5,255.35
2022-11-06,John Doe,Notebook,5,14162.45
2023-06-04,Don Finn,Highlighter,62,1256.74
2023-05-03,Emily Brown,Desk,37,911.31
2022-09-19,David Wilson,Desk,96,1120.32
2023-04-06,Jane Smith,Highlighter,48,111600.96
2023-01-25,Baby Lo,Pencil,86,960.62
2023-02-01,Don Finn,Desk,49,2589.65
2023-05-30,John Doe,Pen,73,896.44
2023-06-14,Don Finn,Notebook,54,1547.1
2022-12-30,John Doe,Pencil,99,23506.56
2022-10-23,Don Finn,Notebook,73,16357.11
2022-06-25,David Wilson,Desk,43,110486.78
2022-07-13,John Doe,Stapler,69,1791.93
2022-08-06,Jerry Fren,Pen,80,1008.0
2023-02-23,Michael Johnson,Highlighter,65,16079.05
2022-08-18,Emily Brown,Stapler,71,771.06
2023-01-02,David Wilson,Desk,90,21052.8
2023-04-12,John Doe,Desk,10,693.1
2023-01-06,Baby Lo,Desk,59,145905.82
2022-08-27,John Doe,Highlighter,64,158178.56
2022-09-18,John Doe,Stapler,19,1127.84
2022-09-09,Jane Smith,Pencil,4,254.8
2022-10-06,John Doe,Stapler,86,5215.04
2023-03-19,John Doe,Desk,73,173723.94
2023-02-18,Don Finn,Stapler,37,57204.59
2023-05-14,Emily Brown,Pen,40,105436.8
2023-04-17,David Wilson,Stapler,28,52220.28
2023-01-07,Michael Johnson,Highlighter,9,268.29
2023-03-09,David Wilson,Desk,27,775.71
2022-09-25,David Wilson,Pencil,48,605.28
2023-01-29,John Doe,Notebook,7,1507.66
2022-07-25,Jane Smith,Pen,37,5503.38
2022-06-25,John Doe,Highlighter,77,4077.15
2022-12-22,Emily Brown,Pen,82,11129.04
2023-01-31,Michael Johnson,Stapler,92,12063.96
2022-07-21,John Doe,Stapler,87,197480.43
2023-02-15,Baby Lo,Notebook,43,1102.09
2023-06-01,David Wilson,Notebook,86,242222.44
2022-11-19,John Doe,Notebook,15,2100.6
2023-02-27,Baby Lo,Desk,72,9146.16
2022-09-11,Don Finn,Pencil,94,155391.4
2022-11-29,Don Finn,Notebook,80,1016.0
2022-10-31,Michael Johnson,Pen,8,1956.8
2023-02-23,John Doe,Pen,27,1689.39
2023-03-08,Baby Lo,Stapler,73,1792.15
2022-11-02,Baby Lo,Pencil,20,1069.0
2023-03-01,David Wilson,Highlighter,56,11882.64
2022-11-24,Michael Johnson,Highlighter,9,106.29
2023-05-18,John Doe,Highlighter,78,4210.44
2022-07-17,Jane Smith,Notebook,58,7896.12
2022-08-04,Michael Johnson,Notebook,26,1801.8
2023-03-06,Baby Lo,Notebook,100,13993.0
2022-11-16,John Doe,Pen,63,8931.51
2023-06-06,Jane Smith,Highlighter,89,20375.66
2022-07-31,John Doe,Notebook,33,4036.56
2023-01-15,Jerry Fren,Pencil,66,8015.7
2022-10-29,Jerry Fren,Highlighter,12,1584.6
2023-01-21,Jerry Fren,Pen,97,21915.21
2023-05-15,Michael Johnson,Pencil,20,31555.2
2023-01-25,Jane Smith,Pen,67,194967.99
2023-01-17,John Doe,Desk,93,13486.86
2023-04-16,Jerry Fren,Stapler,85,251414.7
2023-03-29,John Doe,Stapler,96,11546.88
2023-01-07,Jerry Fren,Desk,100,23693.0
2022-11-09,Jerry Fren,Pen,8,17922.88
2022-08-04,Jane Smith,Highlighter,77,1546.93
2023-05-06,John Doe,Stapler,56,1512.0
2022-10-09,Michael Johnson,Pen,27,57037.23
2023-03-30,Jerry Fren,Notebook,8,13536.08
2023-02-08,Don Finn,Pencil,16,2152.0
2022-12-07,Don Finn,Notebook,57,1706.01
2023-03-02,Jane Smith,Stapler,96,12350.4
2022-10-22,Baby Lo,Pen,65,104021.45
2022-12-19,Michael Johnson,Pencil,90,22316.4
2022-11-27,Jerry Fren,Pencil,89,173204.68
2023-04-19,Jane Smith,Pencil,2,22.16
2023-05-26,Baby Lo,Stapler,93,219541.38
2023-03-23,Don Finn,Highlighter,65,106666.95
2022-09-10,Baby Lo,Pencil,38,8599.4
2023-04-23,Michael Johnson,Pencil,64,179149.44
2023-04-23,Jerry Fren,Pencil,82,229450.76
2023-04-01,Jane Smith,Stapler,45,98010.0
2023-01-22,Jerry Fren,Desk,76,1690.24
2023-01-27,Jerry Fren,Notebook,83,11973.58
2023-06-20,Michael Johnson,Desk,32,2169.6
2022-11-21,David Wilson,Stapler,63,8771.49
2022-07-27,Michael Johnson,Notebook,11,1613.92
2022-08-20,John Doe,Stapler,9,16723.35
2023-04-13,Jane Smith,Stapler,43,6039.78
2022-09-24,David Wilson,Notebook,90,1839.6
2022-06-21,Michael Johnson,Desk,2,25.78
2023-04-18,Emily Brown,Stapler,8,14697.44
2022-08-01,David Wilson,Pencil,25,673.5
2022-09-04,John Doe,Pencil,83,4364.14
2022-11-15,Michael Johnson,Notebook,26,1750.58
2022-10-19,Michael Johnson,Pen,69,14090.49
2023-04-25,Baby Lo,Pen,15,168.3
2022-09-02,Jerry Fren,Notebook,90,2584.8
2023-02-19,Jerry Fren,Notebook,36,2018.88
2022-11-22,Don Finn,Pencil,96,13986.24
2023-04-02,Emily Brown,Notebook,26,706.68
2023-01-17,Baby Lo,Desk,4,922.0
2023-06-09,Don Finn,Highlighter,78,17591.34
2023-05-18,Don Finn,Stapler,81,2105.19
2023-06-20,Baby Lo,Desk,52,155307.36
2022-11-13,John Doe,Highlighter,94,1926.06
2023-04-07,Emily Brown,Highlighter,28,77294.28
2023-01-26,Don Finn,Desk,23,583.97
2022-08-11,Don Finn,Highlighter,86,10939.2
2023-04-21,Emily Brown,Pencil,59,3667.44
2023-03-14,David Wilson,Stapler,53,2949.98
2022-09-16,Emily Brown,Desk,83,1073.19
2023-01-13,Baby Lo,Highlighter,8,183.92
2023-06-04,Jerry Fren,Pen,21,2967.09
2023-05-02,David Wilson,Notebook,8,1168.32
2022-08-27,Jane Smith,Highlighter,50,6520.0
2023-03-07,John Doe,Highlighter,57,2864.82
2023-04-24,Michael Johnson,Pencil,75,4368.75
2022-08-08,Don Finn,Stapler,13,2901.08
2022-09-24,Michael Johnson,Highlighter,87,21240.18
2022-06-24,Jerry Fren,Desk,80,822.4
2023-04-13,Michael Johnson,Pencil,90,2495.7
2022-12-18,Jane Smith,Highlighter,37,977.17
2022-08-19,John Doe,Notebook,56,11976.16
2022-10-13,Michael Johnson,Highlighter,97,6530.04
2023-03-08,Baby Lo,Pencil,9,2133.0
2022-12-19,Don Finn,Highlighter,61,8283.19
2023-01-09,Michael Johnson,Highlighter,84,187870.2
2022-11-27,Baby Lo,Pen,50,11807.0
2023-01-06,Don Finn,Highlighter,2,418.86
2022-10-22,Don Finn,Highlighter,43,2192.14
2023-05-20,Michael Johnson,Highlighter,69,1427.61
2023-01-31,Don Finn,Notebook,34,2214.08
2023-05-13,Jerry Fren,Stapler,72,9367.2
2023-01-18,Emily Brown,Desk,75,841.5
2023-05-29,Jerry Fren,Pencil,6,9224.4
2022-07-14,Michael Johnson,Desk,74,4992.04
2023-01-24,Jerry Fren,Pen,27,61815.96
2023-06-12,Emily Brown,Pencil,14,352.38
2023-04-01,Michael Johnson,Desk,29,1986.5
2022-09-29,Michael Johnson,Stapler,41,2586.69
2023-04-03,Baby Lo,Pencil,27,1843.83
2023-01-06,Don Finn,Notebook,69,1481.43
2023-02-13,Baby Lo,Pen,7,193.9
2022-06-27,Michael Johnson,Notebook,41,414.51
2023-04-18,Emily Brown,Pen,63,3540.6
2023-05-17,Michael Johnson,Notebook,7,426.72
2022-11-05,Emily Brown,Desk,47,556.48
2023-03-10,Jane Smith,Notebook,17,383.18
2022-08-24,David Wilson,Highlighter,46,517.96
2023-05-24,David Wilson,Stapler,13,36643.1
2023-03-22,Michael Johnson,Pencil,72,8773.92
2023-03-28,Baby Lo,Notebook,28,717.36
2022-07-10,Don Finn,Desk,35,746.2
2023-04-10,Emily Brown,Pencil,41,2607.6
2022-11-19,Jane Smith,Desk,83,5512.86
2022-07-02,John Doe,Notebook,80,18808.8
2022-12-17,Jerry Fren,Pen,65,8975.85
